timestamp,asset,direction,amount,result,profit,balance,mood,rsi
2026-03-11 00:12:01,AIG-OTC,call,1.0,WIN,0.85,9993.25,1.00,44.39
2026-03-11 00:13:01,AIG-OTC,call,1.0,LOSS,-1.00,9992.25,1.00,45.50
2026-03-11 00:14:02,AIG-OTC,call,2.0,WIN,1.70,9993.95,1.00,40.97
2026-03-11 00:16:02,AIG-OTC,put,1.0,WIN,0.85,9994.80,0.00,42.22
2026-03-11 00:17:01,AIG-OTC,call,1.0,WIN,0.85,9995.65,0.85,38.69
2026-03-11 00:18:01,AIG-OTC,put,1.0,LOSS,-1.00,9994.65,0.06,44.53
2026-03-11 00:20:01,AIG-OTC,put,2.0,LOSS,-2.00,9992.65,0.13,49.95
2026-03-11 00:21:01,AIG-OTC,put,4.0,LOSS,-4.00,9988.65,0.18,52.79
2026-03-11 00:22:02,AIG-OTC,put,8.0,WIN,6.80,9995.45,0.04,57.83
2026-03-11 00:23:01,AIG-OTC,put,1.0,LOSS,-1.00,9994.45,0.29,48.90
2026-03-11 00:24:02,AIG-OTC,put,2.0,LOSS,-2.00,9992.45,0.26,53.14
2026-03-11 00:25:02,AIG-OTC,put,4.0,LOSS,-4.00,9988.45,0.18,52.72
2026-03-11 00:26:01,AIG-OTC,put,8.0,WIN,6.80,9995.25,0.00,54.45
2026-03-11 00:27:02,AIG-OTC,put,1.0,WIN,0.85,9996.10,0.00,45.93
2026-03-11 00:28:01,AIG-OTC,call,1.0,LOSS,-1.00,9995.10,0.96,43.05
2026-03-11 00:29:02,AIG-OTC,call,2.0,WIN,1.70,9996.80,0.91,36.21
2026-03-11 00:31:02,AIG-OTC,call,1.0,WIN,0.85,9997.65,0.91,37.52
2026-03-11 00:32:02,AIG-OTC,put,1.0,LOSS,-1.00,9996.65,0.50,46.12
2026-03-11 00:34:01,AIG-OTC,call,2.0,WIN,1.70,9998.35,1.00,54.07
2026-03-11 00:35:02,AIG-OTC,put,1.0,WIN,0.85,9999.20,0.50,52.98
2026-03-11 00:38:02,AIG-OTC,put,1.0,LOSS,-1.00,9998.20,0.00,45.87
2026-03-11 00:40:01,AIG-OTC,put,2.0,WIN,1.70,9999.90,0.00,50.16
2026-03-11 00:49:01,AIG-OTC,call,1.0,LOSS,-1.00,9998.90,0.00,52.85
2026-03-11 00:50:01,AIG-OTC,call,2.0,WIN,1.70,10000.60,0.50,47.35
2026-03-11 00:56:01,AIG-OTC,call,1.0,WIN,0.85,10001.45,1.00,27.03
2026-03-11 00:57:02,AIG-OTC,call,1.0,LOSS,-1.00,10000.45,1.00,31.84
2026-03-11 01:00:02,AIG-OTC,call,2.0,LOSS,-2.00,9998.45,0.50,40.17
2026-03-11 01:03:01,AIG-OTC,call,4.0,LOSS,-4.00,9994.45,1.00,34.26
2026-03-11 01:05:01,AIG-OTC,put,8.0,LOSS,-8.00,9986.45,0.11,26.18
2026-03-11 01:08:02,AIG-OTC,put,16.0,WIN,13.60,10000.05,0.00,23.88
2026-03-11 01:09:01,AIG-OTC,call,1.0,WIN,0.85,10000.90,0.66,22.49
2026-03-11 01:22:01,AIG-OTC,put,1.0,WIN,0.85,10001.75,0.20,46.22
2026-03-11 01:28:01,AIG-OTC,call,1.0,LOSS,-1.00,10000.75,0.00,48.61
2026-03-11 01:29:02,AIG-OTC,call,2.0,WIN,1.70,10002.45,0.67,42.07
2026-03-11 01:33:02,AIG-OTC,call,1.0,LOSS,-1.00,10001.45,0.00,35.08
2026-03-11 01:34:01,AIG-OTC,call,2.0,WIN,1.70,10003.15,0.00,34.57
